"anio_fiscal","crudo_realizado_usd_bbl","crudo_realizado_label","refino_cash_cost","refino_cash_cost_unidad","refino_cash_cost_label","downstream_op_income","downstream_op_income_unidad","ventas_refinados_km3","crudo_procesado_km3d","filing_url","notas"
2014,72.09,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs (production costs) +Ps 1.895 M (+51,5%) y +45% en ARS vs 2013",10978,"Ps millones",NA,46.2,"https://www.sec.gov/Archives/edgar/data/904851/000119312515111986/d863353d20f.htm","Ps/boe 593,34 Argentina; USD implicito 72,10 con TC 8,23. Refining costs +45% en ARS (sin nivel)."
2015,66.22,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs +Ps 912 M (+17,8%) vs 2014",8446,"Ps millones",NA,47.5,"https://www.sec.gov/Archives/edgar/data/904851/000119312516507875/d134304d20f.htm","Ps/boe 621,85 Argentina; USD implicito 66,22 con TC 9,39. Narrativa: Medanito ene-2015 US$77 y nov-2015 US$75; Escalante 63 y 61 (acuerdo productores-refinadores)."
2016,58.41,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs +Ps 2.530 M (+42,0%); indicador unitario +44,2% en ARS",3093,"Ps millones",NA,46.8,"https://www.sec.gov/Archives/edgar/data/904851/000119312517115552/d361809d20f.htm","Ps/boe 863,25 Argentina; USD implicito 58,41 con TC 14,78. Narrativa: Medanito US$67,50 y Escalante US$54,90 ene-jul 2016; luego -2% mensual ago-oct (-6%). El 20-F FY2016 re-expresa Downstream 2015 = 6.948 (vs 8.446) por nueva segmentacion (Gas & Power separado)."
2017,53.01,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs +Ps 1.762 M (+20,6%); indicador unitario +21,1% en ARS",15813,"Ps millones",NA,46.6,"https://www.sec.gov/Archives/edgar/data/904851/000119312518127245/d462446d20f.htm","Ps/boe 888,48; USD implicito 53,01 con TC 16,76. Acuerdo de Transicion: Medanito 59,40 (ene) a 55,00 (jul-dic); Escalante 48,30 a 47,00; suspendido sep-2017 (convergencia con paridad)."
2018,60.53,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs +Ps 2.812 M (+27,3%); indicador unitario +31,5% en ARS",7818,"Ps millones",NA,45.1,"https://www.sec.gov/Archives/edgar/data/904851/000119312519096821/d660305d20f.htm","Ps/boe 1.774,87; USD implicito 60,53 con TC 29,32."
2019,47.77,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",NA,NA,"Sin nivel unitario: refining costs +Ps 11.580 M (+87,6%); costo unitario de refinacion +91,8% en ARS",40653,"Ps millones",12610,44.1,"https://www.sec.gov/Archives/edgar/data/904851/000119312520119222/d872797d20f.htm","Ps/boe 2.351,81; USD implicito 47,77 con TC 49,23. Ventas naftas+gasoil mercado local 12.610 mcm segun tabla del 20-F FY2021 (excl. bunker y ventas a otras companias). Moneda funcional USD desde 2019; presentacion en Ps."
2020,39.6,"Average oil sales price - Argentina (US$/boe), tabla 'Production costs and sales prices' del 20-F FY2022 (presentacion en USD)",NA,NA,"Sin nivel unitario: refining costs +Ps 4.505 M (+18,2%); sin variacion unitaria informada",4839,"Ps millones",10013,37.4,"https://www.sec.gov/Archives/edgar/data/904851/000119312521125294/d117762d20f.htm","Barril Criollo: Decreto 488/2020 fijo US$45/bbl referencia Medanito (19-may a 28-ago-2020, cese por Brent>45 10 dias). Promedios de mercado 2020: Medanito 41,3 / Escalante 40,8 US$/bbl (20-F FY2021). Valor 39,6 US$/boe es el realizado de YPF segun 20-F FY2022; el 20-F propio reporta 2.798,38 Ps/boe. Op income Downstream Ps 4.839 M (en USD del 20-F FY2022: 89 MUSD). COVID: throughput cayo a 85,8 mmboe. Ventas naftas+gasoil 10.013 mcm (20-F FY2021)."
2021,53.7,"Average oil sales price - Argentina (US$/boe), tabla 'Production costs and sales prices' del 20-F FY2022 (presentacion en USD)",NA,NA,"Sin nivel unitario: refining costs +Ps 13.596 M (+54,8%); indicador unitario en pesos +34,6%",86496,"Ps millones",12063,42.9,"https://www.sec.gov/Archives/edgar/data/904851/000119312522111088/d284779d20f.htm","Valor 53,7 US$/boe segun 20-F FY2022; el 20-F propio reporta 5.111,3 Ps/boe. Mercado: Medanito 53,7 / Escalante 58,9 US$/bbl. Op income propio Ps 86.496 M; en USD (20-F FY2022): 945 MUSD."
2022,64.4,"Average oil sales price - Argentina (US$/boe), tabla 'Production costs and sales prices'",NA,NA,"Sin nivel unitario: refining and logistic costs +US$ 343 M (+32,3%) => nivel 2022 aprox US$ 1.405 M; costo unitario +25,1%",1523,"USD millones",13618,45.4,"https://www.sec.gov/Archives/edgar/data/904851/000119312523097822/d357382d20f.htm","US$/boe directo (primer 20-F presentado en USD). Mercado: Medanito 62,3 / Escalante 70,9 US$/bbl; Brent 98,9. Ventas naftas+gasoil 13.618 mcm (excl. bunker y otras companias; el 20-F FY2023 reporta 14.561 con otra definicion)."
2023,62.5,"Average oil sales price - Argentina (US$/boe), tabla 'Production costs and sales prices'",NA,NA,"Sin nivel unitario: refining and logistics costs +US$ 189 M (+13,4%) => nivel 2023 aprox US$ 1.600 M; costo unitario +10,0%",896,"USD millones",15057,46.8,"https://www.sec.gov/Archives/edgar/data/904851/000119312524114066/d804823d20f.htm","US$/boe directo. Mercado: Medanito 60,8 / Escalante 68,7 US$/bbl; Brent 82,2. Refining and logistics: nivel implicito 2023 aprox US$ 1.600 M => aprox 14,4 US$/bbl sobre 111,3 mmboe procesados (derivado, incluye logistica)."
2024,68.2,"Average oil sales price - Argentina (US$/boe), tabla 'Production costs and sales prices'",NA,NA,"Sin nivel unitario: refining and logistic costs +US$ 189 M vs 2023 (sin % informado)",1306,"USD millones",14132,47.9,"https://www.sec.gov/Archives/edgar/data/904851/000119312525067155/d866694d20f.htm","US$/boe directo. Mercado: Medanito 68,9 / Escalante 72,7 US$/bbl; Brent 79,8. Ventas naftas+gasoil 14.132 km3."
