provincia|localidad|dep_nuevo|confianza|justificacion
ENTRE RIOS|JUAN JORGE|Colón|alta|dir km 180.5 de RN14, entre dos puntos confirmados del dpto Colón: Mabragaña (km 172.5, Wikipedia) y Ubajay (km 200); operador 'JUAN JORGE S.A.' = nombre del paraje
ENTRE RIOS|LIBERTADOR GRAL. SAN MARTIN|Diamante|alta|Villa Libertador San Martín (georef) = Diamante (ciudad universitaria adventista)
ENTRE RIOS|MABRAGAÑA|Colón|alta|Colonia Mabragaña = dpto Colón (Wikipedia, arts. de los arroyos Mármol/Pos Pos/Caraballo); dir RN14 km 172.5 consistente
ENTRE RIOS|PERDICES|Gualeguaychú|alta|la propia dir dice 'RUTA 14 KM. 27 (PERDICES) -DPTO. GUALEGUAYCHU'
ENTRE RIOS|VILLA VALLE MARIA|Diamante|alta|Aldea Valle María (georef) = Diamante; dir RP11 km 31
FORMOSA|LAGUNA NAINECK|Pilcomayo|alta|Laguna Naick-Neck, sobre RN86 = dpto Pilcomayo
FORMOSA|VILLA DOS TRECE|Pirané|alta|Villa Dos Trece = dpto Pirané (dir RP3)
JUJUY|MONTE RICO|El Carmen|alta|Monterrico = dpto El Carmen (dir Av Crucero Gral Belgrano)
LA PAMPA|CONELLO|Conhelo|alta|typo de Conhelo; la propia dir dice 'ACCESO A CONHELLO'
LA PAMPA|PADRE BUODO|Utracán|alta|dir RUTA 35 Y RUTA 152 = cruce de Padre Buodo, dpto Utracán (zona Gral Acha)
LA PAMPA|TOMAS MANUEL DE ANCHORENA|Atreucó|alta|Tomás M. Anchorena (georef) = dpto Atreucó
LA RIOJA|GDOR. GORDILLO|Chamical|alta|existe la 'ACA Estación Nº 38 Chamical' (geodestinos La Rioja) y la est de la base es del AUTOMOVIL CLUB con bandera YPF; Gob. Gordillo = nombre viejo del dpto Chamical
MENDOZA|LAVALLE|Lavalle|alta|la dir dice COSTA DE ARAUJO (distrito de Lavalle); A.G.Chaves era basura del bug
MENDOZA|RUSELL|Maipú|alta|Russell es distrito de Maipú (dir Urquiza 6630)
MENDOZA|VALLE DE LAS LEÑAS|Malargüe|alta|Las Leñas (georef) = Malargüe; dir RP222 km 48
MENDOZA|VILLA 25 DE MAYO|San Rafael|alta|Villa 25 de Mayo (georef) = San Rafael
MENDOZA|VILLA LA PAZ|La Paz|alta|dir RN7 km 901.5 = La Paz (este mendocino)
MISIONES|2 DE MAYO|Cainguás|alta|Dos de Mayo (georef) = Cainguás
MISIONES|ALTE. BROWN|General Manuel Belgrano|alta|Colonia Almirante Brown, zona Andresito; comparte dir 'AV. LOS PIONEROS' con Colonia Andresito
MISIONES|COLONIA ANDRESITO|General Manuel Belgrano|alta|Comandante Andresito (georef) = General Manuel Belgrano
MISIONES|COLONIA CARAGUATAY|Montecarlo|alta|Caraguatay (georef) = Montecarlo
MISIONES|PTO. PIRAY|Montecarlo|alta|Puerto Piray = dpto Montecarlo (dir RP16)
RIO NEGRO|BALNEARIO LAS GRUTAS|San Antonio|alta|Las Grutas (georef) = dpto San Antonio
RIO NEGRO|CAMPO GRANDE|General Roca|alta|dir RN151 km 31 = municipio Campo Grande (Villa Manzano), dpto General Roca
SALTA|GRAL.MOSCONI|General José de San Martín|alta|Gral Mosconi sobre RN34 km 1425 (zona Tartagal) = dpto San Martín
SALTA|LOS ANDES|Los Andes|alta|San Antonio de los Cobres = dpto Los Andes; Capital era basura del bug
SAN JUAN|ALBARDON|Albardón|alta|dir La Laja 1101 (La Laja es Albardón)
SAN JUAN|ANGACO|Angaco|alta|dpto propio; Capital era basura del bug
SAN JUAN|LAS CASUARINAS|25 de Mayo|alta|dir RN20 km 1015 = Las Casuarinas, dpto 25 de Mayo (SJ)
SAN JUAN|POCITOS|Pocito|alta|dir Av Ing Marcos Zalazar / RN40 km 154 = dpto Pocito
SAN JUAN|SARMIENTO|Sarmiento|alta|dir RUTA 40 Y RUTA 319 (zona Media Agua) = dpto Sarmiento
SAN JUAN|VALLE FERTIL|Valle Fértil|alta|la dir dice SAN AGUSTIN DE VALLE FERTIL
SANTA CRUZ|PIEDRA BUENA|Corpen Aike|alta|Comandante Luis Piedrabuena (RN3) = dpto Corpen Aike
SANTA FE|COLONIA ALDAO|Castellanos|alta|dir RP280-S y acceso a Colonia Aldao (zona Sunchales) = Castellanos
SANTA FE|GDOR. BAIGORRIA|Rosario|alta|Granadero Baigorria = dpto Rosario; se fusiona con GRANADERO BAIGORRIA (sana el mercado partido)
SANTA FE|J. B. MOLINA|Constitución|alta|Juan Bernabé Molina (georef) = Constitución
SANTA FE|RECREO SUR|La Capital|alta|dir RN11 km 477-482 = Recreo, dpto La Capital (string oficial: 'La Capital', no 'Capital')
TIERRA DEL FUEGO|SAN SEBASTIAN|Río Grande|alta|San Sebastián (RN3) = dpto Río Grande
TUCUMAN|CEVIL POZO|Cruz Alta|alta|dir RP302 km 6.5 = Cevil Pozo, dpto Cruz Alta
TUCUMAN|LOS PORCELES|Cruz Alta|alta|la web oficial de Complejo del Parque S.A. (el operador) ubica su centro RN9 km 1277.3 en 'Los Pocitos, Cruz Alta'; 'LOS PORCELES' es deformación de Los Pocitos; inaugurado dic-2020, en la base 2022-2024
CHUBUT|UZCUDUN|Rawson|alta|la localidad es el APELLIDO del dueño (operador 'UZCUDUN, VALENTIN F.'): la Shell Uzcudun está en TRELEW (guías comerciales; dir J.M. de Rosas 1108) = dpto Rawson; NO es el paraje de RN3
BUENOS AIRES|N/D|__NA__|alta|'N/D' es placeholder de dato faltante (1 estación, 95 filas); no corresponde asignar partido — queda NA para excluir en el modelo
